                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.25727,                0.18314,                0.84972,                0.70697,                0.68934,                0.72867,                 0.5584,                0.84829,                 1.3633,                 1.4882,                0.00307,                0.00307,                0.00307
                     38,                 0.2544,                0.18089,                0.84771,                0.70742,                0.69068,                0.72887,                 0.5581,                0.84757,                 1.3673,                 1.4874,               0.002872,               0.002872,               0.002872
                     39,                0.25145,                0.17936,                0.84619,                0.70902,                0.68703,                0.72803,                0.55829,                0.84812,                 1.3656,                 1.4889,               0.002674,               0.002674,               0.002674
                     40,                0.24806,                0.17648,                0.84525,                0.71416,                0.68715,                0.72863,                0.55744,                0.84833,                 1.3655,                 1.4887,               0.002476,               0.002476,               0.002476
                     41,                0.19393,                0.13966,                0.81511,                0.70108,                 0.6949,                0.72656,                0.55751,                0.84725,                 1.3692,                 1.4894,               0.002278,               0.002278,               0.002278
                     42,                0.18846,                0.13545,                0.81216,                0.70353,                0.69604,                0.72887,                0.55951,                0.84266,                 1.3599,                 1.4869,                0.00208,                0.00208,                0.00208
                     43,                0.18396,                0.13249,                 0.8099,                 0.7091,                0.69867,                0.73228,                0.56243,                0.84007,                 1.3547,                 1.4877,               0.001882,               0.001882,               0.001882
                     44,                0.17921,                0.12895,                0.80757,                0.71008,                0.69867,                0.73291,                0.56448,                0.83883,                 1.3507,                 1.4886,               0.001684,               0.001684,               0.001684
                     45,                0.17636,                0.12677,                0.80538,                0.71242,                0.69778,                0.73499,                0.56695,                0.83745,                 1.3481,                 1.4892,               0.001486,               0.001486,               0.001486
                     46,                0.17173,                0.12376,                0.80314,                0.71085,                0.70062,                0.73632,                 0.5673,                0.83522,                 1.3493,                 1.4877,               0.001288,               0.001288,               0.001288
                     47,                0.16765,                0.12132,                 0.8016,                0.70849,                0.70447,                0.73861,                0.56881,                0.83454,                  1.342,                 1.4906,                0.00109,                0.00109,                0.00109
                     48,                0.16505,                0.11972,                0.80071,                0.71092,                0.70516,                0.74053,                0.57071,                0.83405,                 1.3385,                 1.4936,               0.000892,               0.000892,               0.000892
                     49,                0.16107,                0.11713,                0.79826,                0.71592,                0.70566,                0.74197,                0.57129,                0.83561,                 1.3374,                  1.498,               0.000694,               0.000694,               0.000694
                     50,                0.15657,                0.11385,                0.79679,                0.71936,                0.70671,                0.74398,                0.57276,                0.83519,                 1.3328,                 1.5017,               0.000496,               0.000496,               0.000496
