                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.24593,                 0.1767,                0.84476,                0.96653,                0.95307,                0.98069,                0.89139,                0.43025,                0.24014,                0.99432,                0.00307,                0.00307,                0.00307
                     38,                 0.2437,                 0.1748,                0.84356,                0.96658,                0.95374,                0.98091,                0.89171,                0.43107,                0.23972,                0.99551,               0.002872,               0.002872,               0.002872
                     39,                0.24085,                0.17326,                0.84263,                0.96688,                0.95403,                 0.9809,                0.89158,                0.43216,                0.23938,                0.99679,               0.002674,               0.002674,               0.002674
                     40,                0.23677,                0.16994,                0.84104,                0.96708,                0.95449,                0.98101,                0.89143,                0.43278,                0.23867,                0.99791,               0.002476,               0.002476,               0.002476
                     41,                0.18458,                0.13505,                0.81045,                0.96901,                0.95412,                0.98127,                0.89105,                 0.4336,                0.23731,                0.99938,               0.002278,               0.002278,               0.002278
                     42,                0.17931,                0.13186,                0.80756,                0.96932,                0.95437,                0.98148,                0.89149,                 0.4347,                0.23683,                 1.0012,                0.00208,                0.00208,                0.00208
                     43,                0.17495,                0.12851,                0.80562,                0.96967,                0.95547,                0.98177,                0.89209,                0.43602,                0.23537,                 1.0035,               0.001882,               0.001882,               0.001882
                     44,                0.17091,                0.12594,                0.80302,                 0.9727,                0.95421,                0.98195,                0.89245,                0.43724,                0.23463,                 1.0057,               0.001684,               0.001684,               0.001684
                     45,                0.16708,                0.12293,                0.80129,                0.97416,                0.95379,                0.98202,                0.89257,                0.43861,                 0.2335,                  1.008,               0.001486,               0.001486,               0.001486
                     46,                0.16231,                0.11947,                 0.7993,                0.97452,                0.95453,                 0.9824,                0.89292,                0.44009,                0.23266,                 1.0105,               0.001288,               0.001288,               0.001288
                     47,                0.15875,                0.11723,                0.79725,                0.97533,                0.95484,                 0.9827,                0.89305,                0.44172,                0.23193,                 1.0134,                0.00109,                0.00109,                0.00109
                     48,                0.15454,                0.11433,                0.79587,                 0.9725,                 0.9594,                0.98258,                0.89341,                0.44318,                0.23054,                 1.0164,               0.000892,               0.000892,               0.000892
                     49,                0.15156,                0.11237,                0.79491,                0.97577,                0.95674,                0.98282,                0.89372,                0.44434,                0.22978,                 1.0189,               0.000694,               0.000694,               0.000694
                     50,                0.14782,                0.11005,                0.79306,                0.97397,                0.95953,                0.98318,                 0.8938,                0.44547,                0.22899,                 1.0217,               0.000496,               0.000496,               0.000496
